                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6967,                 4.7248,                 2.0351,                0.13284,                0.16667,                0.04356,                0.00892,                  1.779,                 4.3564,                 2.4885,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                 1.5005,                 3.1755,                 1.8345,                0.49032,                    0.5,                 0.4663,                0.22251,                 1.4201,                 3.3367,                 2.0241,             8.2525e-05,             8.2525e-05,             8.2525e-05
                      3,                 1.1686,                 2.5219,                 1.5659,                0.42076,                0.58333,                0.52685,                0.26769,                  1.477,                  4.606,                  2.091,             0.00013072,             0.00013072,             0.00013072
                      4,                 1.0662,                 1.8167,                 1.3471,                0.78472,                0.91164,                0.90307,                0.52375,                 1.2561,                 5.0784,                 1.7984,             0.00017792,             0.00017792,             0.00017792
                      5,                 1.1381,                 1.7847,                 1.3918,                0.78624,                0.83333,                0.82641,                0.45268,                 1.2858,                  3.222,                 1.4101,             0.00022414,             0.00022414,             0.00022414
                      6,                0.94917,                 1.2939,                  1.198,                0.89742,                0.73069,                0.84343,                0.51025,                 1.2473,                 2.7914,                 1.3362,             0.00026936,             0.00026936,             0.00026936
                      7,                0.91503,                 1.1077,                 1.1429,                0.89058,                0.83333,                0.83295,                0.52763,                 1.2587,                 2.3741,                 1.3048,              0.0003136,              0.0003136,              0.0003136
                      8,                0.91923,                 1.1115,                 1.1925,                0.82441,                0.83333,                0.82525,                0.48041,                 1.2808,                 2.1957,                 1.3839,             0.00035684,             0.00035684,             0.00035684
                      9,                0.88718,                  1.048,                 1.1447,                0.74791,                   0.75,                0.78304,                0.44365,                  1.408,                 1.9837,                 1.5903,             0.00039909,             0.00039909,             0.00039909
                     10,                0.89027,                 1.0083,                 1.1242,                0.91303,                0.87667,                0.91078,                 0.4982,                 1.4245,                 1.6906,                 1.5274,             0.00044036,             0.00044036,             0.00044036
                     11,                 1.0029,                 1.0696,                 1.2179,                0.98574,                0.83333,                0.94443,                  0.541,                 1.4402,                 1.3901,                  1.529,             0.00048063,             0.00048063,             0.00048063
                     12,                0.97906,                 1.1032,                 1.2063,                0.91361,                0.91667,                0.91429,                0.45964,                 1.5663,                 1.3363,                   1.72,             0.00051991,             0.00051991,             0.00051991
                     13,                 1.0606,                 1.0794,                 1.2602,                 0.7549,                0.58333,                0.53392,                0.28891,                   1.75,                 2.3962,                 2.0089,              0.0005582,              0.0005582,              0.0005582
                     14,                0.92054,                 1.0802,                 1.1903,                0.39039,                0.16133,                0.14462,                0.06923,                 1.8776,                  3.268,                 2.2201,             0.00059551,             0.00059551,             0.00059551
                     15,                0.98671,                 1.0437,                 1.1729,                0.38322,                0.58333,                0.40618,                0.16311,                 1.8909,                 2.8474,                 2.1445,             0.00063182,             0.00063182,             0.00063182
                     16,                0.90176,                0.86771,                 1.1463,                0.56045,                0.41667,                 0.3987,                0.24312,                 1.8441,                 2.4634,                 1.9866,             0.00066714,             0.00066714,             0.00066714
                     17,                0.88743,                0.80136,                 1.1575,                0.72865,                0.58333,                0.66022,                0.38301,                 1.9002,                 2.0283,                 2.0655,             0.00070147,             0.00070147,             0.00070147
                     18,                0.99356,                0.87713,                 1.2829,                  0.752,                0.41667,                0.55527,                0.30036,                 1.9172,                 2.1637,                 2.1189,             0.00073482,             0.00073482,             0.00073482
                     19,                 0.9065,                0.84284,                 1.2058,                0.53637,                0.58333,                0.56118,                0.33121,                 1.7171,                 2.1377,                  1.937,             0.00076717,             0.00076717,             0.00076717
                     20,                0.89617,                0.87739,                 1.2126,                0.56346,                    0.5,                0.51907,                  0.293,                 1.7553,                 1.9263,                 1.9178,             0.00079853,             0.00079853,             0.00079853
                     21,                0.86136,                0.94718,                 1.1791,                0.95239,                   0.25,                0.39185,                0.21276,                 1.7083,                  2.549,                 2.1378,              0.0008289,              0.0008289,              0.0008289
                     22,                0.95458,                0.87992,                 1.1664,                0.49636,                 0.4112,                0.38223,                0.20061,                 1.6549,                  3.267,                  2.132,             0.00085828,             0.00085828,             0.00085828
                     23,                0.95435,                0.84414,                 1.2162,                0.60524,                0.41667,                0.41376,                0.25954,                 1.6296,                  2.689,                 2.0095,             0.00088667,             0.00088667,             0.00088667
                     24,                0.83221,                0.75864,                  1.093,                0.80146,                0.41667,                 0.5049,                 0.3541,                 1.4034,                 2.5184,                 1.7147,             0.00091407,             0.00091407,             0.00091407
                     25,                0.88698,                0.77597,                 1.1753,                0.88582,                    0.5,                0.64314,                0.47313,                    1.4,                 2.0129,                 1.5581,             0.00094048,             0.00094048,             0.00094048
                     26,                 1.0592,                0.87771,                 1.3984,                0.95494,                0.41667,                0.59009,                0.36904,                 1.6005,                 2.0221,                  1.745,              0.0009659,              0.0009659,              0.0009659
                     27,                 0.9179,                0.76386,                  1.175,                0.63479,                    0.5,                0.43437,                 0.2673,                 1.7266,                 2.8041,                 2.1913,             0.00099033,             0.00099033,             0.00099033
                     28,                0.95691,                0.86338,                 1.2389,                0.13782,                    0.5,                0.17548,                0.12537,                 1.5905,                 5.7385,                 2.0506,              0.0010138,              0.0010138,              0.0010138
                     29,                0.89358,                0.87638,                 1.2008,                0.13782,                    0.5,                0.17548,                0.12537,                 1.5905,                 5.7385,                 2.0506,              0.0010362,              0.0010362,              0.0010362
                     30,                0.83139,                0.80751,                 1.1901,                0.13722,                0.41667,                 0.1508,                 0.0971,                 1.5475,                 5.3594,                 1.9425,              0.0010577,              0.0010577,              0.0010577
                     31,                0.85988,                0.80347,                 1.1922,                0.28759,                0.16667,                  0.207,                0.12345,                 1.5375,                  5.229,                 1.9423,              0.0010781,              0.0010781,              0.0010781
                     32,                0.77925,                0.80428,                 1.1393,                0.25787,                    0.5,                0.28169,                0.15242,                 1.7398,                 7.8629,                 2.0093,              0.0010976,              0.0010976,              0.0010976
                     33,                0.87473,                0.65752,                 1.1951,                0.25787,                    0.5,                0.28169,                0.15242,                 1.7398,                 7.8629,                 2.0093,              0.0011161,              0.0011161,              0.0011161
                     34,                 0.8052,                0.64765,                 1.1244,                0.57697,                0.56934,                0.71203,                0.40868,                 1.5842,                  3.265,                 1.7718,              0.0011224,              0.0011224,              0.0011224
                     35,                0.76165,                0.67053,                 1.0998,                0.47603,                0.75742,                0.64987,                0.34499,                  1.765,                 1.4885,                 1.8602,              0.0011059,              0.0011059,              0.0011059
                     36,                0.80018,                0.75715,                 1.1824,                0.26162,                0.73847,                0.32801,                0.16459,                  1.885,                 1.9043,                 2.1806,              0.0010894,              0.0010894,              0.0010894
                     37,                0.76009,                0.77324,                 1.1391,                0.26162,                0.73847,                0.32801,                0.16459,                  1.885,                 1.9043,                 2.1806,              0.0010729,              0.0010729,              0.0010729
                     38,                0.74933,                0.60288,                 1.0838,                0.53226,                0.58333,                0.43879,                0.21112,                 1.8494,                 2.2549,                 2.0948,              0.0010564,              0.0010564,              0.0010564
                     39,                0.71979,                0.69324,                 1.0943,                0.46316,                0.58333,                0.40136,                0.22067,                 1.7846,                 2.4081,                 1.9719,              0.0010399,              0.0010399,              0.0010399
                     40,                0.72444,                0.56781,                 1.0976,                0.61153,                0.33333,                0.39404,                0.21246,                   1.59,                 2.3717,                 1.7201,              0.0010234,              0.0010234,              0.0010234
                     41,                0.81992,                0.62112,                  1.136,                0.61153,                0.33333,                0.39404,                0.21246,                   1.59,                 2.3717,                 1.7201,              0.0010069,              0.0010069,              0.0010069
                     42,                0.71643,                0.67403,                 1.0925,                0.47002,                0.41667,                0.43559,                0.22508,                 1.7487,                 2.2668,                 1.7963,             0.00099036,             0.00099036,             0.00099036
                     43,                0.72483,                0.59687,                 1.0715,                0.74609,                0.49088,                0.60313,                0.31742,                 1.7129,                 1.7328,                 1.8306,             0.00097386,             0.00097386,             0.00097386
                     44,                0.79015,                0.58899,                 1.1217,                0.70657,                0.66667,                0.72645,                 0.4067,                 1.4936,                 1.4661,                 1.8069,             0.00095736,             0.00095736,             0.00095736
                     45,                0.76384,                0.57368,                 1.1211,                0.70657,                0.66667,                0.72645,                 0.4067,                 1.4936,                 1.4661,                 1.8069,             0.00094085,             0.00094085,             0.00094085
