                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8137,                 4.0186,                  2.134,                 0.5932,                0.63415,                0.60849,                0.26714,                 1.4656,                  3.209,                 2.2041,             0.00015003,             0.00015003,             0.00015003
                      2,                 1.3012,                 1.7581,                 1.5824,                0.82833,                0.85366,                0.86115,                0.53286,                 1.2347,                 2.0251,                 1.5188,             0.00031359,             0.00031359,             0.00031359
                      3,                 1.2001,                 1.4458,                 1.4675,                0.80295,                 0.7561,                0.77689,                0.46938,                 1.4422,                 1.7596,                 1.5907,             0.00047386,             0.00047386,             0.00047386
                      4,                 1.2022,                 1.2041,                 1.4203,                0.84815,                0.68121,                0.72909,                0.45344,                  1.263,                 2.5187,                 1.6278,             0.00063082,             0.00063082,             0.00063082
                      5,                 1.1592,                 1.1076,                 1.4015,                0.86152,                0.78049,                0.84634,                0.49003,                 1.4411,                 1.3084,                  1.577,             0.00078448,             0.00078448,             0.00078448
                      6,                 1.2688,                 1.0496,                 1.4949,                0.78434,                0.80488,                0.78478,                0.47148,                 1.3366,                 2.6373,                 1.5237,             0.00093485,             0.00093485,             0.00093485
                      7,                 1.2371,                 1.0281,                 1.4088,                0.78352,                0.79465,                0.79375,                0.41874,                 1.5928,                 2.5285,                 2.0033,              0.0010819,              0.0010819,              0.0010819
                      8,                  1.266,                 1.0698,                 1.4792,                0.47888,                0.73171,                0.48318,                0.21556,                 1.7892,                 5.7165,                  2.232,              0.0012257,              0.0012257,              0.0012257
                      9,                 1.2291,                0.98566,                 1.4221,                0.39164,                0.56098,                0.42913,                0.18608,                 2.0757,                 4.6348,                 2.2152,              0.0013661,              0.0013661,              0.0013661
                     10,                 1.1096,                0.93224,                 1.3057,                0.11931,                0.12195,                0.05365,                0.01847,                 3.5628,                 11.945,                 4.9126,              0.0015033,              0.0015033,              0.0015033
                     11,                 1.1971,                 0.8833,                 1.3897,                0.64274,                0.65854,                0.63351,                0.23121,                 2.0132,                 4.3853,                 2.1381,               0.001502,               0.001502,               0.001502
                     12,                  1.252,                 1.0317,                 1.4765,                0.35922,                0.53659,                0.35685,                0.14269,                 2.1068,                 7.1138,                 2.1674,              0.0014855,              0.0014855,              0.0014855
