                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4203,                 2.9655,                 1.7205,                0.28549,                0.33974,                0.18401,                0.11597,                  1.244,                 3.0526,                 1.5614,             0.00028339,             0.00028339,             0.00028339
                      2,                  1.161,                 1.8069,                 1.4061,                0.44159,                0.49872,                0.40085,                0.21568,                 1.4884,                 2.6673,                 1.8625,             0.00057767,             0.00057767,             0.00057767
                      3,                 1.2418,                  1.601,                  1.447,                0.42802,                    0.5,                0.42011,                0.20576,                 1.7337,                 2.5178,                 1.9902,             0.00086602,             0.00086602,             0.00086602
                      4,                  1.279,                 1.4866,                 1.4451,                0.43123,                0.57664,                 0.4988,                0.24816,                 1.6203,                 3.0526,                 2.0102,              0.0011484,              0.0011484,              0.0011484
                      5,                 1.3279,                 1.4744,                 1.5117,                0.60156,                0.16667,                0.07615,                0.02882,                 2.3551,                 60.934,                 4.0122,              0.0014249,              0.0014249,              0.0014249
                      6,                 1.3031,                  1.364,                 1.4524,                0.56267,                0.30769,                0.17499,                 0.0709,                 2.2098,                 14.279,                 3.2075,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.2821,                 1.3732,                 1.4648,                0.52047,                0.28205,                0.03439,                0.01149,                 2.3418,                 27.766,                 3.2828,               0.001568,               0.001568,               0.001568
                      8,                 1.2836,                 1.3639,                 1.4046,                0.45543,                0.46224,                 0.3599,                0.20672,                  1.737,                 4.0853,                 2.0638,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.3219,                 1.3096,                 1.4735,                0.23577,                0.35256,                0.16942,                0.07778,                  1.887,                 4.0291,                 2.4147,               0.001535,               0.001535,               0.001535
                     10,                 1.1912,                 1.2015,                 1.3623,                0.35075,                 0.3398,                0.26876,                0.12318,                 2.0899,                 2.6229,                 2.1541,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.2609,                 1.2026,                 1.3815,                0.80816,                0.32051,                0.45546,                0.29085,                 1.3438,                 2.6296,                 1.5785,               0.001502,               0.001502,               0.001502
                     12,                 1.2321,                  1.159,                 1.3928,                 0.7633,                0.60769,                0.71749,                0.44133,                 1.4093,                 1.6718,                 1.6548,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.2004,                 1.2478,                 1.3543,                0.71554,                0.42692,                0.55495,                0.31812,                 1.6759,                 1.9382,                 1.7925,               0.001469,               0.001469,               0.001469
                     14,                 1.1847,                 1.1865,                  1.363,                0.80998,                0.57485,                0.75797,                0.52056,                 1.1666,                 1.5684,                 1.3912,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.2218,                 1.1124,                  1.374,                0.91266,                0.68244,                0.79182,                0.51103,                 1.2988,                0.98789,                 1.5434,               0.001436,               0.001436,               0.001436
                     16,                 1.2417,                 1.1671,                 1.4322,                0.79246,                0.54487,                0.68981,                0.40372,                 1.5083,                  1.131,                 1.5649,              0.0014195,              0.0014195,              0.0014195
